County,Precinct count,Dem,Rep,Other,Ind,Libert,Green,Const,Reform,Soc Wk,Male,Female,Registered
ADAIR,16,3733,8759,462,243,13,0,1,0,0,6348,6862,13211
ALLEN,13,4799,8336,720,205,13,6,1,0,1,6707,7374,14081
ANDERSON,14,10069,6089,801,330,27,5,2,1,0,8283,9040,17324
BALLARD,13,4671,1402,227,57,5,2,2,0,0,3080,3285,6366
BARREN,25,16589,11502,1008,782,38,15,6,4,2,14100,15845,29946
BATH,12,7374,1378,312,58,2,2,0,1,0,4398,4729,9127
BELL,30,9323,10465,932,70,1,0,0,1,0,9816,10976,20792
BOONE,62,31437,50341,8911,2986,238,33,17,1,6,45205,48763,93970
BOURBON,16,9289,4026,681,222,16,5,0,0,0,6672,7567,14239
BOYD,45,21402,13534,1674,1453,63,9,8,1,0,17972,20171,38144
BOYLE,25,11775,7742,1083,450,32,5,2,0,1,9854,11233,21090
BRACKEN,8,4580,1364,193,54,4,1,0,0,0,3021,3175,6196
BREATHITT,21,10377,926,213,76,3,0,0,0,0,5774,5821,11595
BRECKINRIDGE,16,7181,6685,560,333,23,2,0,0,0,7257,7527,14784
BULLITT,48,27437,23619,3831,1159,108,22,9,2,1,26991,29196,56188
BUTLER,12,2178,6733,172,136,11,3,0,0,0,4439,4793,9233
CALDWELL,13,7018,2435,378,133,8,1,0,1,1,4714,5260,9975
CALLOWAY,29,16798,8738,1878,724,59,14,3,0,1,13227,14988,28215
CAMPBELL,67,28800,31158,5363,2967,236,49,8,5,6,32419,36166,68592
CARLISLE,6,3003,864,105,14,1,0,0,0,0,1887,2100,3987
CARROLL,11,5984,1285,384,85,4,3,1,1,0,3753,3994,7749
CARTER,26,11378,6901,864,350,14,1,1,0,0,9368,10141,19509
CASEY,15,1948,8499,120,174,10,1,6,0,0,5213,5545,10758
CHRISTIAN,41,27069,16209,3427,1014,89,14,27,3,1,21381,26472,47853
CLARK,26,15318,9552,1679,588,47,4,5,0,0,12874,14319,27193
CLAY,20,1968,12317,224,129,4,0,1,0,0,7147,7496,14643
CLINTON,13,1285,5985,71,41,3,0,1,0,0,3556,3830,7386
CRITTENDEN,12,2967,3124,321,161,9,0,0,0,1,3157,3426,6583
CUMBERLAND,10,818,4373,121,53,4,2,0,0,0,2571,2800,5371
DAVIESS,86,41070,24427,4012,1156,105,18,5,1,4,33054,37742,70798
EDMONSON,7,2781,5659,284,117,6,2,2,1,1,4385,4468,8853
ELLIOTT,7,4661,306,123,40,4,1,0,0,0,2551,2584,5135
ESTILL,15,4223,5574,450,157,10,2,0,1,1,5102,5316,10418
FAYETTE,291,110197,79569,15856,7116,562,127,9,1,1,98585,114853,213438
FLEMING,18,6825,3180,448,96,1,0,0,1,0,5072,5478,10551
FLOYD,42,25970,3578,331,581,23,4,2,0,0,14780,15709,30489
FRANKLIN,44,25339,8072,1530,657,45,11,5,0,0,16296,19339,35659
FULTON,11,3944,1006,387,28,0,0,1,0,0,2317,3049,5366
GALLATIN,8,3893,1841,343,110,5,2,0,0,0,2992,3202,6194
GARRARD,14,4078,7501,866,203,5,2,2,0,0,6097,6558,12657
GRANT,22,8638,6824,1475,334,19,2,1,0,0,8430,8863,17293
GRAVES,30,17171,6456,889,280,38,5,1,0,0,11684,13156,24840
GRAYSON,22,5721,11072,812,267,10,0,1,0,2,8552,9333,17885
GREEN,10,3151,5154,285,67,1,0,1,0,0,4149,4510,8659
GREENUP,29,16439,10070,1448,656,34,4,4,0,1,13515,15138,28656
HANCOCK,10,4001,2227,257,98,11,0,2,0,0,3241,3354,6596
