County,,Votes2012,PercentDem2012,Votes2008,PercentDem2008,Votes2004,PercentDem2004,Votes2000,PercentDem2000
Adair,*ADAI,7600,0.218421053,7298,0.228555769,7447,0.236873909,7328,0.242767467
Allen,*ALLE,7099,0.254683758,7390,0.273883627,7163,0.268462935,6429,0.303313112
Anderson,*ANDE,10318,0.321283194,10552,0.328089462,9591,0.327494526,7967,0.364252542
Ballard,*BALL,3895,0.305263158,4060,0.351477833,4177,0.421115633,3769,0.498806049
Barren,*BARR,16565,0.32598853,16807,0.323317665,16140,0.323172243,13844,0.356110951
Bath,*BATH,4122,0.429403202,4543,0.48646269,4919,0.530189063,4473,0.466577241
Bell,*BELL,9482,0.234549673,9598,0.289852053,11002,0.382657699,10611,0.451135614
Boone,*BOON,52498,0.297706579,50774,0.320872888,45082,0.274854709,31984,0.289144572
Bourbon,*BOUR,7909,0.388797572,8330,0.406362545,8217,0.389193136,7102,0.42917488
Boyd,*BOYD,19041,0.408381913,20670,0.429898403,21777,0.465261514,19182,0.49739339
Boyle,*BOYL,12368,0.361497413,12635,0.377443609,12490,0.371977582,10326,0.383788495
Bracken,*BRAC,3230,0.355108359,3399,0.365107385,3610,0.33601108,3019,0.294137132
Breathitt,*BREA,5008,0.311900958,5030,0.438369781,5944,0.559724092,5073,0.572048098
Breckinridge,*BREC,7967,0.354587674,8522,0.364937808,8520,0.338497653,7453,0.34818194
Bullitt,*BULL,31775,0.313800157,30726,0.331217861,28627,0.315890593,22679,0.361347502
Butler,*BUTL,5058,0.255634638,5307,0.293009233,5578,0.257439943,5010,0.259281437
Caldwell,*CALD,5860,0.316040956,6199,0.356831747,6349,0.353598992,5482,0.405508938
Calloway,*CALL,15064,0.352761551,15404,0.400220722,15145,0.378210631,13673,0.412126088
Campbell,*CAMP,40173,0.375376497,40297,0.387671539,40175,0.354772869,33809,0.356118193
Carlisle,*CARL,2619,0.286368843,2617,0.33588078,2845,0.387346221,2593,0.443116082
Carroll,*CARR,3680,0.442663043,3835,0.447457627,3897,0.433153708,3499,0.457559303
