County;;TotalVotes2015;PercentDem2015;TotalVotes2011;PercentDem2011;TotalVotes2007;PercentDem2007;TotalVotes2003;PercentDem2003;TotalVotes1999;PercentDem1999;TotalVotes1995;PercentDem1995;TotalVotes1991;PercentDem1991;TotalVotes1987;PercentDem1987;TotalVotes1983;PercentDem1983;TotalVotes1979;PercentDem1979;TotalVotes1975;PercentDem1975
Adair;*ADAI;4111;0.3084407687;3676;0.4368879217;4632;0.32253886;4659;0.337840738;2299;0.626794258;4482;0.340919232;4337;0.477519022;4593;0.630960157;5665;0.446954987;5990;0.404173623;4337;0.477519022
Allen;*ALLE;3397;0.2876067118;2894;0.4219073946;3775;0.482119205;3388;0.350059032;1182;0.626903553;3156;0.420468948;3251;0.596431867;2660;0.567293233;3336;0.532973621;4502;0.442025766;3251;0.596431867
Anderson;*ANDE;6729;0.3915886462;6068;0.5023071852;7207;0.605383655;6891;0.411986649;3308;0.59280532;5417;0.478309027;2721;0.737963984;3599;0.689913865;4239;0.62561925;4046;0.59614434;2721;0.737963984
Ballard;*BALL;2377;0.4164913757;2159;0.5900880037;2719;0.659065833;3080;0.53474026;1477;0.832769127;2904;0.674586777;2114;0.935666982;2283;0.873412177;2575;0.724271845;2597;0.769734309;2114;0.935666982
Barren;*BARR;9215;0.3871947911;7858;0.5631203869;11135;0.525909295;8960;0.434709821;3450;0.75826087;8554;0.546177227;6487;0.690303684;6182;0.695729537;9656;0.617025684;10019;0.451242639;6487;0.690303684
Bath;*BATH;2240;0.4986607143;1844;0.5862255965;3433;0.669094087;3285;0.574429224;1240;0.55;3161;0.583359696;2166;0.786703601;2610;0.832183908;3928;0.654786151;3030;0.729372937;2166;0.786703601
Bell;*BELL;4138;0.3760270662;3583;0.4325983812;5009;0.600119784;5264;0.45193769;4871;0.453295011;6338;0.504260019;7355;0.544663494;8684;0.69357439;8143;0.523148717;8891;0.57271398;7355;0.544663494
Boone;*BOON;24082;0.3080308944;18107;0.4579444414;19992;0.492446979;20113;0.284094864;8508;0.60519511;14839;0.325830582;6446;0.676853863;9116;0.682645897;12858;0.492922694;8737;0.564037999;6446;0.676853863
Bourbon;*BOUR;4857;0.5167799053;4057;0.5479418289;5250;0.578285714;5291;0.444150444;2574;0.509324009;4503;0.521208083;4220;0.742180095;3913;0.668285203;4905;0.627726809;4490;0.710244989;4220;0.742180095
Boyd;*BOYD;9182;0.452406883;7767;0.6281704648;10962;0.660372195;11470;0.575065388;6791;0.686938595;12881;0.610433973;16459;0.641655022;13072;0.647414321;15180;0.565217391;16697;0.623944421;16459;0.641655022
Boyle;*BOYL;7252;0.4065085494;6327;0.5493914968;7184;0.536609131;8337;0.408780137;5016;0.664673046;6434;0.469536836;4451;0.71467086;5265;0.611965812;6382;0.556408649;6717;0.62572577;4451;0.71467086
Bracken;*BRAC;1588;0.4282115869;1372;0.5524781341;1931;0.587260487;2164;0.473659889;883;0.610419026;1996;0.44739479;1481;0.76772451;2027;0.737543167;2623;0.568814335;2056;0.646400778;1481;0.76772451
Breathitt;*BREA;2636;0.4582701062;2238;0.5522788204;4122;0.741630277;3819;0.676355067;1583;0.528111181;3572;0.669932811;3179;0.886442277;3416;0.87382904;5075;0.772216749;3932;0.725584944;3179;0.886442277
